,Time Step,Episode,Step in Episode,Gen Loss
490,245500,2228,38,40.919314829508465
491,246000,2232,101,40.91103032430013
492,246500,2236,3,40.831702677408856
493,247000,2239,102,40.7592404683431
494,247500,2244,107,40.841940307617186
495,248000,2249,53,40.72028401692708
496,248500,2252,163,40.86439514160156
497,249000,2257,70,40.815806198120114
498,249500,2260,57,40.89267539978027
499,250000,2263,41,40.737236404418944
500,250500,2267,35,40.8595588684082
501,251000,2271,17,40.65646158854167
502,251500,2274,134,40.7518305460612
503,252000,2279,14,40.653312555948894
504,252500,2282,180,40.68001480102539
505,253000,2288,30,40.628121566772464
506,253500,2291,21,40.745375061035155
507,254000,2294,131,40.526415506998696
508,254500,2297,81,40.45533955891927
509,255000,2301,91,40.8387949625651
510,255500,2305,141,40.579751078287764
511,256000,2310,185,40.433981577555336
512,256500,2315,95,40.6935173034668
513,257000,2318,79,40.6165589650472
514,257500,2320,179,40.38923225402832
515,258000,2324,5,40.472302500406904
516,258500,2326,182,40.681857426961265
517,259000,2330,188,40.71117108662923
518,259500,2333,173,40.481669362386064
519,260000,2338,2,40.51330248514811
520,260500,2341,15,40.41120465596517
521,261000,2344,50,40.46235783894857
522,261500,2347,129,40.34092636108399
523,262000,2350,111,40.275926208496095
524,262500,2353,137,40.30133450826009
525,263000,2356,92,40.31706008911133
526,263500,2360,27,40.263684590657554
527,264000,2363,53,40.124505106608076
528,264500,2365,153,40.21208279927571
529,265000,2368,110,40.20816548665365
530,265500,2371,166,40.12356770833333
531,266000,2374,66,40.33224220275879
532,266500,2380,3,40.20101000467936
533,267000,2383,17,40.1486634572347
534,267500,2385,155,40.15190137227376
535,268000,2389,111,40.040378189086915
536,268500,2393,13,40.25911394755045
537,269000,2397,38,39.992774709065756
538,269500,2402,10,40.10393142700195
539,270000,2406,91,40.12459424336751
540,270500,2412,2,40.33643226623535
541,271000,2416,93,40.15492617289225
542,271500,2421,8,40.060112380981444
543,272000,2424,76,40.258460744222006
544,272500,2428,99,40.12632891337077
545,273000,2434,45,40.055962244669594
546,273500,2438,57,40.254847590128584
547,274000,2441,27,40.04667930603027
548,274500,2446,60,40.021779251098636
549,275000,2449,99,40.12985814412435
550,275500,2453,19,39.93893229166667
551,276000,2458,30,40.12227732340495
552,276500,2462,27,40.1555731455485
553,277000,2465,117,40.032365036010745
554,277500,2470,146,40.02611172993978
555,278000,2475,52,40.0009033203125
556,278500,2478,13,40.02648328145345
557,279000,2482,125,40.07786649068196
558,279500,2486,21,39.96364835103353
559,280000,2489,6,40.15128707885742
560,280500,2494,104,39.86841888427735
561,281000,2499,93,40.032772318522134
562,281500,2503,109,40.17840995788574
563,282000,2506,121,40.0125062306722
564,282500,2510,111,39.92462641398112
565,283000,2515,23,39.95387217203776
566,283500,2519,53,40.04241892496745
567,284000,2524,60,40.07987798055013
568,284500,2529,13,39.958058802286786
569,285000,2532,104,39.985321553548175
570,285500,2536,45,40.01848526000977
571,286000,2539,86,40.13659121195475
572,286500,2543,85,39.88482449849447
573,287000,2546,49,39.79599583943685
574,287500,2549,71,39.89387741088867
575,288000,2552,140,39.8764710744222
576,288500,2555,159,39.93044789632162
577,289000,2559,181,39.711282348632814
578,289500,2562,81,39.64862543741862
579,290000,2568,25,39.87320467631022
580,290500,2570,125,39.81451733907064
581,291000,2576,40,39.90286140441894
582,291500,2580,15,39.894299570719404
583,292000,2583,47,39.83892300923665
584,292500,2586,15,39.90013580322265
585,293000,2590,99,39.65451634724935
586,293500,2593,44,39.83300984700521
587,294000,2595,144,39.71862500508626
588,294500,2601,10,39.57158164978027
589,295000,2605,52,39.66319974263509
590,295500,2607,152,39.51963437398275
591,296000,2612,15,39.787495930989586
592,296500,2614,115,39.38300997416179
593,297000,2617,15,39.80521227518717
594,297500,2622,26,39.666412862141925
595,298000,2626,23,39.62145818074544
596,298500,2630,3,39.414804712931314
597,299000,2633,49,39.68462079366048
598,299500,2641,11,39.588221867879234
599,300000,2643,188,39.661934280395506
600,300500,2649,16,39.52182502746582
601,301000,2652,115,39.67560094197591
602,301500,2659,16,39.61972007751465
603,302000,2662,92,39.66832669576009
604,302500,2667,71,39.545073954264325
605,303000,2671,109,39.37759653727213
606,303500,2674,37,39.41458117167155
607,304000,2679,8,39.445973841349286
608,304500,2682,105,39.47468350728353
609,305000,2686,138,39.42610816955566
610,305500,2690,27,39.51704495747884
611,306000,2693,89,39.507914479573564
612,306500,2696,79,39.50956153869629
613,307000,2699,59,39.522439575195314
614,307500,2702,35,39.55400505065918
615,308000,2706,114,39.41089007059733
616,308500,2711,58,39.417029825846356
617,309000,2715,12,39.600973765055336
618,309500,2719,15,39.50880610148112
619,310000,2723,118,39.51620394388835
620,310500,2727,91,39.42746086120606
