,Time Step,Episode,Step in Episode,Shield Loss
261,52400,706,141,-0.27535817921161654
262,52600,708,114,-19.574634552001953
263,52800,710,48,-12.650956948598227
264,53000,712,151,-11.402750015258789
265,53200,714,26,-23.525169308980306
266,53400,715,26,-24.950640932718912
267,53600,717,113,-18.570565541585285
268,53800,718,113,-22.34272632598877
269,54000,720,16,-18.982643795013427
270,54200,722,10,-24.16612809499105
271,54400,723,103,-29.07784144083659
272,54600,725,2,-38.67044741312663
273,54800,726,134,-34.40151227315267
274,55000,728,54,-35.077779388427736
275,55200,729,54,-22.015260823567708
276,55400,731,25,-23.772583516438804
277,55600,733,87,-23.355658594767252
278,55800,734,123,-23.739471753438313
279,56000,737,23,-25.833419036865234
280,56200,738,23,-28.688409741719564
281,56400,739,29,-37.10733439127604
282,56600,740,29,-39.15990219116211
283,56800,741,77,-29.99763552347819
284,57000,743,101,-32.97816619873047
285,57200,744,101,-13.300742435455323
286,57400,745,125,-18.462023226420083
287,57600,746,125,-33.532182757059736
288,57800,748,87,-28.78715934753418
289,58000,750,57,-34.17147610982259
290,58200,751,71,-37.78742243448893
291,58400,752,75,-38.36705894470215
292,58600,753,75,-38.15360628763835
293,58800,754,75,-44.94687156677246
294,59000,755,196,-42.47916552225749
295,59200,758,77,-35.730995178222656
296,59400,760,87,-0.7200954695542653
297,59600,762,42,-21.476326974232993
298,59800,763,42,-19.511466471354165
299,60000,764,73,-23.91803696950277
300,60200,765,73,-28.15723203023275
301,60400,766,73,-30.686150805155435
302,60600,767,73,-12.620322672526042
303,60800,768,76,-10.160738054911295
304,61000,769,80,-6.428718261917433
305,61200,771,51,-10.943828582763672
306,61400,774,44,-10.260809580485025
307,61600,775,161,-17.814106623331707
308,61800,776,161,-18.547466468811034
309,62000,778,47,-22.543834559122722
310,62200,780,69,-27.06186447143555
311,62400,781,98,-34.11093120574951
312,62600,782,98,-34.37759539286296
313,62800,783,104,-34.446180152893064
314,63000,784,158,-28.851417096455894
315,63200,785,186,-17.452546501159667
316,63400,787,55,-22.89294891357422
317,63600,789,86,-33.510821151733396
318,63800,791,16,-33.22682908376058
319,64000,792,69,-42.12747993469238
320,64200,793,69,-43.439405314127605
321,64400,794,69,-36.39721705118815
322,64600,795,69,-27.99723555246989
323,64800,797,120,-32.38094895680745
324,65000,798,144,-9.799585866928101
325,65200,799,144,-20.35611082712809
326,65400,801,8,-26.729766845703125
327,65600,802,8,-37.132022349039715
328,65800,803,166,-39.5696226755778
329,66000,804,166,-36.41952018737793
330,66200,805,166,-30.5212251663208
331,66400,806,166,-15.773552817106246
332,66600,807,166,-14.15987860361735
333,66800,809,58,-21.15140367746353
334,67000,811,38,-29.170904922485352
335,67200,814,77,-12.44083662033081
336,67400,815,77,-25.285694058736166
337,67600,816,191,0.02740611732006073
338,67800,818,66,-20.5003244082133
339,68000,819,66,-25.765054766337077
340,68200,820,173,-24.241424496968587
341,68400,821,173,-25.51425406138102
342,68600,822,173,-20.186463101704916
343,68800,824,90,-29.458609199523927
344,69000,826,38,-27.807593218485515
345,69200,827,118,-33.04055614471436
346,69400,829,76,-31.117821820576985
347,69600,830,76,-28.39745502471924
348,69800,831,111,-24.999666023254395
349,70000,832,111,-33.29597078959147
350,70200,833,111,-43.52747802734375
351,70400,835,56,-46.54967397054036
352,70600,838,143,-37.67037734985352
353,70800,839,175,-27.194687016805013
354,71000,841,58,-27.569638760884605
355,71200,842,101,-29.469305928548177
356,71400,843,101,-30.43791300455729
357,71600,844,133,-36.597239049275714
358,71800,847,44,-25.910785166422524
359,72000,848,149,-16.45996681849162
360,72200,850,17,-26.580412038167317
361,72400,851,17,-31.462253189086915
362,72600,852,30,-33.1225638071696
363,72800,854,100,-34.59059600830078
364,73000,856,29,-33.4269167582194
365,73200,857,29,-29.416198412577312
366,73400,859,55,-25.815689023335775
367,73600,860,102,-21.528828366597494
368,73800,862,30,-16.795299561818442
369,74000,863,100,0.629247588912646
370,74200,866,9,-14.995398044586182
371,74400,867,9,-18.673165067036948
372,74600,870,26,-21.757739130655924
373,74800,871,26,-13.296472644805908
374,75000,872,172,-8.975272838274638
375,75200,875,4,-21.441836166381837
376,75400,876,114,-22.043775939941405
377,75600,879,9,-25.97376912434896
378,75800,880,9,-18.002656777699787
379,76000,882,38,-18.33794428507487
380,76200,884,43,-26.02497978210449
381,76400,888,8,-30.30723082224528
382,76600,890,37,-32.10994230906169
383,76800,893,68,-26.93006820678711
384,77000,896,58,-32.4059331258138
385,77200,899,33,-32.12777150472005
386,77400,903,60,-22.07200272878011
387,77600,905,151,-18.36040840148926
388,77800,909,20,-17.267361195882163
389,78000,910,81,-14.744125684102377
390,78200,913,125,-10.534621473153432
391,78400,918,94,-20.20617478688558
392,78600,920,103,-23.122538630167643
393,78800,922,16,-27.351284090677897
394,79000,925,27,-22.30310961405436
395,79200,926,147,-15.243768914540608
396,79400,928,88,-9.180567836761474
397,79600,929,88,-8.606400362650554
398,79800,931,51,-8.977008692423503
399,80000,934,34,-6.221804920832316
400,80200,936,41,-11.178933016459148
401,80400,938,6,-14.70309034983317
402,80600,939,140,-14.264704926808674
403,80800,940,140,-13.566785844167073
404,81000,941,170,-13.345570882161459
405,81200,942,170,-8.662499491373698
406,81400,944,111,-15.668081569671632
407,81600,945,111,-13.611554781595865
408,81800,946,111,-14.09070275624593
409,82000,948,90,-16.93324414889018
410,82200,949,154,-33.357398668924965
411,82400,951,79,-36.401966603597
412,82600,954,42,-23.517277336120607
413,82800,955,42,-30.93784834543864
414,83000,956,42,-33.00401941935221
415,83200,957,42,-27.59225165049235
416,83400,958,42,-18.68459962209066
417,83600,959,42,6.903570461273193
418,83800,960,117,-31.020580164591472
419,84000,963,58,-21.685118675231934
420,84200,965,22,-18.38195578257243
421,84400,967,49,-15.570292886098226
422,84600,968,51,-18.283537356058755
423,84800,969,51,-13.03996311823527
424,85000,971,3,-12.601019382476807
425,85200,972,84,-15.418433666229248
426,85400,973,120,-12.058309364318848
427,85600,974,120,10.23109312057495
428,85800,975,120,7.765962870915731
429,86000,976,158,23.593540064493816
430,86200,978,93,-6.855779115358988
431,86400,981,62,-12.566377862294514
432,86600,982,62,-28.111719449361164
