,Time Step,Episode,Step in Episode,Shield Loss
208,41800,664,3,-24.116713269551596
209,42000,666,70,-22.6212766011556
210,42200,669,30,-22.276725196838377
211,42400,673,31,-23.275744819641112
212,42600,675,88,-16.78271392186483
213,42800,677,94,-16.042137082417806
214,43000,678,94,-17.718285687764485
215,43200,679,94,-21.768976624806722
216,43400,682,23,-25.186532815297443
217,43600,684,178,-35.514444986979164
218,43800,687,30,-35.3547721862793
219,44000,689,14,-34.25281391143799
220,44200,690,71,-34.48931325276693
221,44400,692,63,-26.808156140645345
222,44600,696,23,-29.319713083902993
223,44800,697,108,-28.558683776855467
224,45000,698,163,-15.314470386505127
225,45200,700,22,-26.956591606140137
226,45400,703,87,-25.748458290100096
227,45600,704,87,-19.441024812062583
228,45800,705,119,-30.886812082926433
229,46000,708,14,-25.773143641153972
230,46200,710,30,-24.17708485921224
231,46400,711,30,-33.540364583333336
232,46600,714,89,-25.359945678710936
233,46800,716,20,-21.189455604553224
234,47000,718,77,-14.2582337697347
235,47200,719,96,-22.912564531962076
236,47400,720,96,-25.13746992746989
237,47600,723,7,-28.07183011372884
238,47800,726,7,-33.014181518554686
239,48000,728,29,-33.035560353597006
240,48200,729,48,-28.824085489908853
241,48400,731,130,-20.432504494984943
242,48600,735,14,-15.317332553863526
243,48800,737,19,-11.117052332560222
244,49000,739,91,-14.092304929097493
245,49200,740,193,-11.739603106180827
246,49400,742,61,-22.717222849527996
247,49600,743,83,-31.556987063090006
248,49800,746,85,-26.697474606831868
249,50000,749,42,-30.15658009847005
250,50200,750,52,-25.396264775594076
251,50400,752,22,-28.18401756286621
252,50600,755,63,-26.144576835632325
253,50800,758,31,-29.098654174804686
254,51000,759,131,-18.81203374862671
255,51200,763,22,-29.74729429880778
256,51400,765,91,-26.055656814575194
257,51600,767,97,-15.054097811381022
258,51800,770,16,-24.407882118225096
259,52000,774,69,-21.535101636250815
260,52200,776,107,-17.283178265889486
261,52400,779,54,-27.19573974609375
262,52600,781,8,-31.758867263793945
263,52800,783,70,-31.76093928019206
264,53000,785,48,-32.53339557647705
265,53200,786,48,-8.009185508886974
266,53400,790,16,-14.438047663370769
267,53600,791,181,-8.220626544952392
268,53800,792,192,-25.70514488220215
269,54000,795,35,-22.692853355407713
270,54200,796,114,-28.05179894765218
271,54400,798,79,-25.605120913187662
272,54600,800,96,-34.90373598734538
273,54800,802,70,-33.81906725565592
274,55000,804,40,-31.45456657409668
275,55200,805,137,-28.455803807576498
276,55400,807,41,-22.15498987833659
277,55600,808,65,-15.882422637939452
278,55800,811,29,-22.92962055206299
279,56000,812,54,-25.626401901245117
280,56200,813,54,-15.871617317199707
281,56400,814,78,-30.687644386291502
282,56600,817,31,-33.9478214263916
283,56800,820,43,-31.690553792317708
284,57000,822,35,-28.860769017537436
285,57200,823,76,-30.86989714304606
286,57400,824,76,-31.339367485046388
287,57600,826,80,-34.549770991007485
288,57800,827,149,-29.913296699523926
289,58000,829,120,-23.11719036102295
290,58200,830,175,-36.5296277364095
291,58400,831,175,-19.514614232381184
292,58600,834,8,-34.9403741200765
293,58800,835,169,-38.0748956044515
294,59000,837,53,-34.11376164754232
295,59200,838,119,-30.586473083496095
296,59400,840,71,-35.34563967386882
297,59600,841,71,-26.160517565409343
298,59800,843,49,-25.951467831929524
299,60000,844,49,-6.462974309921265
300,60200,845,49,-4.787537618478139
301,60400,846,105,-7.12573782602946
302,60600,847,105,-5.246275027592977
303,60800,849,2,-4.461513963341713
304,61000,850,94,-15.840111827850341
305,61200,853,4,-27.245991770426432
306,61400,855,34,-24.12532469431559
307,61600,858,9,-15.436903063456217
308,61800,860,91,-23.248236465454102
309,62000,862,41,-21.12059071858724
310,62200,863,72,-25.979703903198242
311,62400,866,22,-22.006319427490233
312,62600,868,93,-25.40204760233561
313,62800,870,48,-23.191032282511394
314,63000,872,15,-27.2454168955485
315,63200,875,54,-25.704465929667155
316,63400,877,30,-24.73362267812093
317,63600,878,90,-22.740802574157716
318,63800,880,77,-20.665404891967775
319,64000,885,37,-21.37012316385905
320,64200,886,114,-15.4311905225118
321,64400,889,3,-24.18214340209961
322,64600,890,124,-18.89833246866862
323,64800,892,47,-20.479463577270508
324,65000,895,38,-24.939577293395995
325,65200,896,38,-22.934041341145832
326,65400,897,38,-26.699127197265625
327,65600,898,141,-27.97702096303304
328,65800,899,179,-37.72608184814453
329,66000,901,50,-33.452643966674806
330,66200,902,159,-23.885552215576173
331,66400,903,159,-24.998117129007976
332,66600,904,183,-17.638951174418132
333,66800,906,70,-9.93201109568278
334,67000,908,57,-7.490753507614135
335,67200,911,40,-9.189065011342366
336,67400,913,34,-3.576738444964091
337,67600,915,108,-7.8818593660990395
338,67800,916,108,-13.697221565246583
339,68000,919,25,-14.282711537679036
340,68200,920,141,-17.367252922058107
341,68400,923,10,-18.551253827412925
342,68600,925,39,-11.29902753829956
343,68800,926,138,-13.651093101501464
344,69000,927,138,-9.844522762298585
345,69200,930,15,-14.885847187042236
346,69400,931,153,-15.745167128245036
347,69600,932,153,-11.911831792195638
348,69800,934,59,-18.16821683247884
349,70000,937,9,-21.05536085764567
350,70200,938,9,-15.094394461313884
351,70400,939,23,-16.462534459431968
352,70600,941,107,-11.892704264322917
353,70800,942,107,-20.398230234781902
354,71000,944,17,-16.411095650990806
355,71200,946,161,-11.56822935740153
356,71400,948,139,-20.19884967803955
357,71600,949,200,-18.682522583007813
358,71800,950,200,-14.501764520009358
359,72000,952,147,-20.455720647176108
360,72200,954,60,-25.437689590454102
361,72400,956,2,-14.09658743540446
362,72600,957,2,-9.507745011647541
363,72800,958,176,-9.194871838887533
364,73000,960,145,27.652967898050942
365,73200,961,182,-10.261807982126872
366,73400,963,165,-19.1993049621582
367,73600,964,165,-22.840256118774413
368,73800,967,42,-27.13509947458903
369,74000,968,175,-30.249553680419922
370,74200,969,200,-28.298291651407876
371,74400,973,13,-30.820447731018067
372,74600,975,120,-30.687840270996094
373,74800,977,53,-36.07969703674316
374,75000,978,173,-31.503773307800294
375,75200,980,107,-29.66782283782959
376,75400,982,172,-29.33646036783854
377,75600,983,172,-29.27402025858561
378,75800,984,196,-0.3708444873491923
379,76000,986,1,-17.017946243286133
380,76200,988,82,-16.54661121368408
381,76400,990,12,-9.969643147786458
382,76600,992,11,-13.479831727345784
383,76800,993,137,-19.833684349060057
384,77000,995,117,-25.22830982208252
385,77200,998,20,-27.421894137064616
386,77400,999,20,-28.543441390991212
387,77600,1000,112,-28.103370730082194
388,77800,1001,170,-13.190525086720784
389,78000,1003,24,-17.147873624165854
390,78200,1005,83,-5.724347496032715
391,78400,1008,49,-13.4146897315979
392,78600,1009,49,-18.882746760050455
393,78800,1012,23,-21.08303559621175
394,79000,1013,37,-23.860690943400066
395,79200,1015,73,-29.08585147857666
396,79400,1016,73,-23.713270505269367
397,79600,1020,42,-24.35029303232829
398,79800,1023,68,-25.32776673634847
399,80000,1026,41,-29.227189763387045
400,80200,1027,66,-26.237768936157227
401,80400,1028,66,-25.21462491353353
402,80600,1029,176,-10.33459022839864
403,80800,1030,176,-14.16773370107015
404,81000,1032,138,-18.384716097513834
405,81200,1033,138,-12.555008951822916
406,81400,1035,57,-17.306330680847168
407,81600,1039,11,-32.05377826690674
408,81800,1040,50,-25.5564479192098
409,82000,1043,57,-16.246975644429526
410,82200,1044,57,-13.25332727432251
411,82400,1045,139,4.658482138315836
412,82600,1048,20,-16.190200519561767
413,82800,1049,148,-15.502298069000243
414,83000,1051,84,-12.344439601898193
415,83200,1052,84,-13.270846112569172
416,83400,1054,115,-7.829359849294026
417,83600,1056,66,-7.863338061173757
418,83800,1059,1,-12.087471771240235
419,84000,1060,1,-11.133716678619384
420,84200,1063,61,-3.8199230591456095
421,84400,1065,25,-9.123672040303548
422,84600,1066,167,-7.504031578699748
423,84800,1069,1,-8.07273925145467
424,85000,1070,1,-9.820733706156412
425,85200,1072,41,-14.141543865203857
426,85400,1073,41,-10.319429016113281
427,85600,1074,161,-10.098765881856282
428,85800,1076,94,-5.164853660265605
429,86000,1078,20,-10.55428508122762
430,86200,1079,148,-9.619279384613037
431,86400,1080,150,-7.0554881890614825
432,86600,1081,150,-5.696624612808227
433,86800,1083,74,-9.53773029645284
434,87000,1084,74,-22.60232022603353
435,87200,1086,53,-25.942462094624837
436,87400,1089,43,-23.873157691955566
437,87600,1092,66,-4.713632488250733
438,87800,1093,192,-30.66014372507731
439,88000,1098,59,-18.560513146718343
440,88200,1100,68,-24.36967887878418
441,88400,1101,68,-20.78852367401123
442,88600,1104,15,-27.45522969563802
443,88800,1105,64,-32.30436814626058
444,89000,1106,64,-36.20385627746582
445,89200,1109,11,-22.092022132873534
446,89400,1110,61,-22.552689170837404
447,89600,1111,152,-24.404673512776693
448,89800,1112,152,-18.19941832224528
449,90000,1113,152,-20.121910603841147
450,90200,1115,46,-32.40142688751221
451,90400,1116,102,-37.14065984090169
452,90600,1119,39,-28.397589619954427
453,90800,1120,39,-24.30599848429362
454,91000,1122,38,-23.4705810546875
455,91200,1124,85,-18.866527112325034
456,91400,1126,19,-17.417218907674155
457,91600,1129,91,-20.065484778086343
458,91800,1130,91,-23.630715306599935
459,92000,1131,109,-28.268822606404623
460,92200,1132,196,-28.69974002838135
461,92400,1134,3,-30.598251215616862
462,92600,1135,141,-30.747586250305176
463,92800,1136,149,-34.598184458414714
464,93000,1137,149,-35.98180338541667
465,93200,1138,149,-45.204161707560225
466,93400,1140,137,-32.92271334330241
467,93600,1141,137,-33.75184319814046
468,93800,1142,164,-17.94136708577474
469,94000,1144,74,-18.04686845143636
470,94200,1146,77,-26.54032980600993
471,94400,1147,77,-30.17324078877767
472,94600,1149,20,-26.403648376464844
473,94800,1150,44,-30.598653157552082
